date,amount,category,description
15-07-2024,5000.0,Income,Freelance
15-07-2024,155.0,Expense,Chai sutta
15-07-2024,5600.0,Income,freelance 2
13-07-2024,1500.0,Expense,Fees
15-07-2024,1500.0,Expense,Chai
15-07-2024,5.0,Income,ghjkhjk
15-07-2024,54.0,Expense,Sutta
03-07-2024,5000.0,Income,Freelance
04-07-2024,155.0,Expense,Chai sutta
04-07-2024,5600.0,Income,freelance 2
05-07-2024,1500.0,Expense,Fees
06-07-2024,1500.0,Expense,Chai
07-07-2024,5.0,Income,ghjkhjk
08-07-2024,54.0,Expense,Sutta
09-07-2024,893.4,Income,Consulting
10-07-2024,327.8,Expense,Groceries
11-07-2024,110.2,Income,Investment
11-07-2024,800.0,Expense,Utilities
12-07-2024,42.5,Income,Part-time job
12-07-2024,67.0,Expense,Dining out
13-07-2024,230.0,Income,Sales
13-07-2024,45.5,Expense,Books
14-07-2024,6000.0,Income,Project A
14-07-2024,250.0,Expense,Clothing
15-07-2024,150.0,Income,Online survey
15-07-2024,25.0,Expense,Transportation
16-07-2024,920.0,Income,Freelance design
16-07-2024,180.0,Expense,Healthcare
17-07-2024,420.0,Income,Web development
17-07-2024,75.0,Expense,Entertainment
18-07-2024,800.0,Income,Consulting
18-07-2024,300.0,Expense,Subscription
19-07-2024,1000.0,Income,Investment
19-07-2024,50.0,Expense,Snacks
20-07-2024,150.0,Income,Part-time job
20-07-2024,80.0,Expense,Personal care
21-07-2024,600.0,Income,Consulting
21-07-2024,20.0,Expense,Phone bill
22-07-2024,200.0,Income,Online tutoring
22-07-2024,120.0,Expense,Gifts
23-07-2024,7000.0,Income,Project B
23-07-2024,350.0,Expense,Home improvement
24-07-2024,95.0,Income,Consulting
24-07-2024,40.0,Expense,Subscriptions
25-07-2024,500.0,Income,Event planning
25-07-2024,60.0,Expense,Software
26-07-2024,800.0,Income,Consulting
26-07-2024,180.0,Expense,Utilities
27-07-2024,400.0,Income,Web design
27-07-2024,55.0,Expense,Travel
28-07-2024,100.0,Income,Freelance writing
28-07-2024,30.0,Expense,Coffee
29-07-2024,2200.0,Income,Project C
29-07-2024,150.0,Expense,Insurance
